Debug.js:127 [673] livestat start 
Debug.js:127 [833] livestat loadend index: NaN time passed: 0.023 
Debug.js:127 [834] livestat loadend index: NaN time passed: 0.020 
Debug.js:127 [11200] livestat timeupdate delay: 4.313 buffer: 3.582 throughput: 11267.000 
Debug.js:127 [11448] livestat timeupdate delay: 4.311 buffer: 3.331 throughput: 11267.000 
Debug.js:127 [11449] livestat timeupdate delay: 4.312 buffer: 3.331 throughput: 11267.000 
Debug.js:127 [11698] livestat timeupdate delay: 4.311 buffer: 4.081 throughput: 11267.000 
Debug.js:127 [11699] livestat timeupdate delay: 4.312 buffer: 4.081 throughput: 11267.000 
Debug.js:127 [12198] livestat timeupdate delay: 4.312 buffer: 3.582 throughput: 11267.000 
Debug.js:127 [12199] livestat timeupdate delay: 4.313 buffer: 3.582 throughput: 11267.000 
Debug.js:127 [12448] livestat timeupdate delay: 4.312 buffer: 3.332 throughput: 11267.000 
Debug.js:127 [12449] livestat timeupdate delay: 4.313 buffer: 3.332 throughput: 11267.000 
Debug.js:127 [12485] livestat loadend index: 187916274 time passed: 6.202 
Debug.js:127 [12571] livestat loadend index: 187916274 time passed: 6.659 
Debug.js:127 [12698] livestat timeupdate delay: 4.311 buffer: 4.081 throughput: 14299.000 
Debug.js:127 [12698] livestat timeupdate delay: 4.311 buffer: 4.081 throughput: 14299.000 
Debug.js:127 [13198] livestat timeupdate delay: 4.312 buffer: 3.582 throughput: 14299.000 
Debug.js:127 [13198] livestat timeupdate delay: 4.312 buffer: 3.582 throughput: 14299.000 
Debug.js:127 [13448] livestat timeupdate delay: 4.312 buffer: 3.332 throughput: 14299.000 
Debug.js:127 [13448] livestat timeupdate delay: 4.312 buffer: 3.332 throughput: 14299.000 
Debug.js:127 [13698] livestat timeupdate delay: 4.312 buffer: 3.082 throughput: 14299.000 
Debug.js:127 [13698] livestat timeupdate delay: 4.312 buffer: 3.082 throughput: 14299.000 
Debug.js:127 [13948] livestat timeupdate delay: 4.312 buffer: 2.831 throughput: 14299.000 
Debug.js:127 [13948] livestat timeupdate delay: 4.312 buffer: 2.831 throughput: 14299.000 
Debug.js:127 [14206] livestat timeupdate delay: 4.311 buffer: 3.573 throughput: 14299.000 
Debug.js:127 [14207] livestat timeupdate delay: 4.312 buffer: 3.573 throughput: 14299.000 
Debug.js:127 [14698] livestat timeupdate delay: 4.312 buffer: 4.082 throughput: 14299.000 
Debug.js:127 [14699] livestat timeupdate delay: 4.313 buffer: 4.082 throughput: 14299.000 
Debug.js:127 [15206] livestat timeupdate delay: 4.311 buffer: 3.573 throughput: 14299.000 
Debug.js:127 [15207] livestat timeupdate delay: 4.312 buffer: 3.573 throughput: 14299.000 
Debug.js:127 [15698] livestat timeupdate delay: 4.311 buffer: 4.081 throughput: 14299.000 
Debug.js:127 [15699] livestat timeupdate delay: 4.312 buffer: 4.081 throughput: 14299.000 
Debug.js:127 [16198] livestat timeupdate delay: 4.311 buffer: 3.581 throughput: 14299.000 
Debug.js:127 [16198] livestat timeupdate delay: 4.311 buffer: 3.581 throughput: 14299.000 
Debug.js:127 [16448] livestat timeupdate delay: 4.311 buffer: 3.331 throughput: 14299.000 
Debug.js:127 [16450] livestat timeupdate delay: 4.313 buffer: 3.331 throughput: 14299.000 
Debug.js:127 [16950] livestat timeupdate delay: 4.313 buffer: 3.831 throughput: 14299.000 
Debug.js:127 [16951] livestat timeupdate delay: 4.314 buffer: 3.831 throughput: 14299.000 
Debug.js:127 [17450] livestat timeupdate delay: 4.313 buffer: 3.331 throughput: 14299.000 
Debug.js:127 [17450] livestat timeupdate delay: 4.313 buffer: 3.331 throughput: 14299.000 
Debug.js:127 [17948] livestat timeupdate delay: 4.311 buffer: 3.831 throughput: 14299.000 
Debug.js:127 [17949] livestat timeupdate delay: 4.312 buffer: 3.831 throughput: 14299.000 
Debug.js:127 [18199] livestat timeupdate delay: 4.312 buffer: 3.581 throughput: 14299.000 
Debug.js:127 [18199] livestat timeupdate delay: 4.312 buffer: 3.581 throughput: 14299.000 
Debug.js:127 [18698] livestat timeupdate delay: 4.312 buffer: 4.082 throughput: 14299.000 
Debug.js:127 [18699] livestat timeupdate delay: 4.312 buffer: 4.082 throughput: 14299.000 
Debug.js:127 [18948] livestat timeupdate delay: 4.311 buffer: 3.831 throughput: 14299.000 
Debug.js:127 [18949] livestat timeupdate delay: 4.312 buffer: 3.831 throughput: 14299.000 
Debug.js:127 [19448] livestat timeupdate delay: 4.311 buffer: 3.331 throughput: 14299.000 
Debug.js:127 [19449] livestat timeupdate delay: 4.312 buffer: 3.331 throughput: 14299.000 
Debug.js:127 [19698] livestat timeupdate delay: 4.311 buffer: 4.081 throughput: 14299.000 
Debug.js:127 [19699] livestat timeupdate delay: 4.312 buffer: 4.081 throughput: 14299.000 
Debug.js:127 [19948] livestat timeupdate delay: 4.311 buffer: 3.831 throughput: 14299.000 
Debug.js:127 [19949] livestat timeupdate delay: 4.312 buffer: 3.831 throughput: 14299.000 
Debug.js:127 [20198] livestat timeupdate delay: 4.311 buffer: 3.581 throughput: 14299.000 
Debug.js:127 [20199] livestat timeupdate delay: 4.312 buffer: 3.581 throughput: 14299.000 
Debug.js:127 [20476] livestat loadend index: 187916275 time passed: 6.271 
Debug.js:127 [20573] livestat loadend index: 187916275 time passed: 6.678 
Debug.js:127 [20698] livestat timeupdate delay: 4.311 buffer: 4.081 throughput: 17274.000 
Debug.js:127 [20698] livestat timeupdate delay: 4.311 buffer: 4.081 throughput: 17274.000 
Debug.js:127 [20948] livestat timeupdate delay: 4.311 buffer: 3.831 throughput: 17274.000 
Debug.js:127 [20948] livestat timeupdate delay: 4.311 buffer: 3.831 throughput: 17274.000 
Debug.js:127 [21198] livestat timeupdate delay: 4.311 buffer: 3.581 throughput: 17274.000 
Debug.js:127 [21199] livestat timeupdate delay: 4.312 buffer: 3.581 throughput: 17274.000 
Debug.js:127 [21698] livestat timeupdate delay: 4.311 buffer: 3.081 throughput: 17274.000 
Debug.js:127 [21698] livestat timeupdate delay: 4.311 buffer: 3.081 throughput: 17274.000 
Debug.js:127 [21948] livestat timeupdate delay: 4.311 buffer: 2.831 throughput: 17274.000 
Debug.js:127 [21949] livestat timeupdate delay: 4.312 buffer: 2.831 throughput: 17274.000 
Debug.js:127 [22203] livestat timeupdate delay: 4.311 buffer: 3.577 throughput: 17274.000 
Debug.js:127 [22203] livestat timeupdate delay: 4.312 buffer: 3.577 throughput: 17274.000 
Debug.js:127 [22698] livestat timeupdate delay: 4.311 buffer: 4.081 throughput: 17274.000 
Debug.js:127 [22699] livestat timeupdate delay: 4.312 buffer: 4.081 throughput: 17274.000 
Debug.js:127 [23198] livestat timeupdate delay: 4.311 buffer: 3.581 throughput: 17274.000 
Debug.js:127 [23199] livestat timeupdate delay: 4.312 buffer: 3.581 throughput: 17274.000 
Debug.js:127 [23698] livestat timeupdate delay: 4.311 buffer: 4.081 throughput: 17274.000 
Debug.js:127 [23699] livestat timeupdate delay: 4.312 buffer: 4.081 throughput: 17274.000 
Debug.js:127 [23948] livestat timeupdate delay: 4.311 buffer: 3.831 throughput: 17274.000 
Debug.js:127 [23949] livestat timeupdate delay: 4.312 buffer: 3.831 throughput: 17274.000 
Debug.js:127 [24449] livestat timeupdate delay: 4.311 buffer: 3.331 throughput: 17274.000 
Debug.js:127 [24450] livestat timeupdate delay: 4.313 buffer: 3.331 throughput: 17274.000 
Debug.js:127 [24948] livestat timeupdate delay: 4.311 buffer: 3.831 throughput: 17274.000 
Debug.js:127 [24949] livestat timeupdate delay: 4.312 buffer: 3.831 throughput: 17274.000 
Debug.js:127 [25205] livestat timeupdate delay: 4.311 buffer: 3.574 throughput: 17274.000 
Debug.js:127 [25206] livestat timeupdate delay: 4.312 buffer: 3.574 throughput: 17274.000 
Debug.js:127 [25698] livestat timeupdate delay: 4.311 buffer: 4.081 throughput: 17274.000 
Debug.js:127 [25699] livestat timeupdate delay: 4.312 buffer: 4.081 throughput: 17274.000 
Debug.js:127 [26200] livestat timeupdate delay: 4.311 buffer: 3.579 throughput: 17274.000 
Debug.js:127 [26200] livestat timeupdate delay: 4.311 buffer: 3.579 throughput: 17274.000 
Debug.js:127 [26698] livestat timeupdate delay: 4.311 buffer: 4.081 throughput: 17274.000 
Debug.js:127 [26699] livestat timeupdate delay: 4.312 buffer: 4.081 throughput: 17274.000 
Debug.js:127 [26948] livestat timeupdate delay: 4.311 buffer: 3.831 throughput: 17274.000 
Debug.js:127 [26948] livestat timeupdate delay: 4.311 buffer: 3.831 throughput: 17274.000 
Debug.js:127 [27201] livestat timeupdate delay: 4.311 buffer: 3.578 throughput: 17274.000 
Debug.js:127 [27202] livestat timeupdate delay: 4.312 buffer: 3.578 throughput: 17274.000 
Debug.js:127 [27698] livestat timeupdate delay: 4.311 buffer: 4.081 throughput: 17274.000 
Debug.js:127 [27699] livestat timeupdate delay: 4.312 buffer: 4.081 throughput: 17274.000 
Debug.js:127 [27948] livestat timeupdate delay: 4.311 buffer: 3.831 throughput: 17274.000 
Debug.js:127 [27949] livestat timeupdate delay: 4.312 buffer: 3.831 throughput: 17274.000 
Debug.js:127 [28198] livestat timeupdate delay: 4.311 buffer: 3.581 throughput: 17274.000 
Debug.js:127 [28199] livestat timeupdate delay: 4.312 buffer: 3.581 throughput: 17274.000 
Debug.js:127 [28499] livestat loadend index: 187916276 time passed: 6.305 
Debug.js:127 [28603] livestat loadend index: 187916276 time passed: 6.722 
Debug.js:127 [28698] livestat timeupdate delay: 4.311 buffer: 4.081 throughput: 19016.000 
Debug.js:127 [28699] livestat timeupdate delay: 4.312 buffer: 4.081 throughput: 19016.000 
Debug.js:127 [28949] livestat timeupdate delay: 4.312 buffer: 3.831 throughput: 19016.000 
Debug.js:127 [28949] livestat timeupdate delay: 4.312 buffer: 3.831 throughput: 19016.000 
Debug.js:127 [29448] livestat timeupdate delay: 4.311 buffer: 3.331 throughput: 19016.000 
Debug.js:127 [29449] livestat timeupdate delay: 4.312 buffer: 3.331 throughput: 19016.000 
Debug.js:127 [29948] livestat timeupdate delay: 4.311 buffer: 2.831 throughput: 19016.000 
